A

sat/i* 	 	apprécier, estimer, aimer (quelque chose)
si		 	elle
sip/o		bateau
slos/i+	 	fermer à clef
snur/o+	 	ficelle
sose/o*	 	chaussée
spar/i+	 	économiser
ston/o 	 	pierre
su/o*		chaussure
suld/i+	 	devoir (une dette)

T

tabl/o		table
tabl/o/tenis/o* tennis de table, ping-pong
tag/o		jour
tag/mang/o*	 déjeuner
tajp/i* 	taper (machine à écrire)
tamen		cependant, néanmoins (adverbe, conjonction)
tamtam/o*	tam-tam
tas/o*		tasse
task/o* 	tâche
te/o*		thé
teatr/o*	théâtre
ted/i+		ennuyer, fatiguer
tegment/o+	toit
Teksas/o*	Texas
teler/o+	assiette
temp/o		temps
ten/i		tenir
tenis/o*	tennis
ter/o		terre, sol
tim/i		avoir peur, craindre
tip/o*		type, sorte
tir/i		tirer
tond/i+ 	couper avec deux lames (ciseaux)
tra		à travers, par (préposition)
traduk/i+	traduire
traf/i* 	atteindre (un but)
trajn/i+	train
tram/o+ 	tramway
tranc/i	 	couper avec une lame (couteau)
trankvil/a	calme, tranquille
trans		de l'autre côté de (préposition)
tre		très
tri		trois
trink/i 	boire
tro		trop
trov/i* 	trouver
tuj		immédiatement
turn/i		tourner (trans.)
tus/i		 toucher
tut/a		tout(entier)

U

universal/a+	universel
universitat/o+	université
unu		un  (chiffre)
urb/o		ville
urs/o+		ours
Uson/o* 	USA
util/a		utile
uz/i		utiliser

V

vagon/o 	wagon
valiz/o*	valise
valor/o 	valeur
varb/i* 	recruter
varm/a		chaud
vast/a* 	vaste
vek/i		réveiller (quelqu'un) (trans.)
ven/i		venir
vend/i		vendre (trans.)
vendred/o*	vendredi
vent/o		vent
ver/a		vrai
verd/a		vert
verk/i+ 	composer, écrire (oeuvre)
verm/o+ 	ver
vesper/o	soir
vest/i		habiller
veter/o 	temps (météo)
vetur/i 	se déplacer (en véhicule : conduire, voler, etc.)
vi		vous, tu
vid/i		voir
vilag/o	 	village
vin/o*		vin
vintr/o 	hiver
vir/o		homme (par opposition à femme)
vitr/o		verre (substance)
viv/i		vivre, être vivant
vizag/o	 	visage
vizit/i*	visiter
voc/o+ 	 	voix
voj/o		voie, route, chemin
vojag/i	 	voyager
vok/i		appeler (trans)
vol/i		vouloir
vort/o		mot

Z

zorg/i		s'occuper de

