***NAMEDLABELSIDS***	06	32C
**BIAS**	0.00000000000000000000 0.63408523797988891602
DEP-SUBJ-lemma:cidade	0.00000000000000000000 0.23499723523855209351
TOK-1-lemma:casa	0.00000000000000000000 0.12180914729833602905
TOK+1-lemma:Evaldo	0.00000000000000000000 0.12180559337139129639
TOK+2-lemma:executar	0.00000000000000000000 0.12180194258689880371
DEP-SUBJ-lemma:homem	0.00000000000000000000 0.12179827690124511719
DEP-CDIR-lemma:executar	0.00000000000000000000 0.12179465964436531067
TOK-3-lemma:infelizmente	0.00000000000000000000 0.01772414939478039742
TOK+1-lemma:ainda	0.00000000000000000000 0.01772416476160287857
DEP-MOD-lemma:infelizmente	0.00000000000000000000 0.01772418059408664703
DEP-MOD-lemma:Sérvia	0.00000000000000000000 0.01772419176995754242
TOK-1-lemma:Santa_Casa_da_Misericórdia	0.00000000000000000000 -0.11708129942417144775
TOK+1-lemma:também	0.00000000000000000000 -0.11707498505711555481
DEP-SUBJ-lemma:dinâmica	0.00000000000000000000 -0.11706870794296264648
DEP-MOD-lemma:conjunto	0.00000000000000000000 -0.11706240475177764893
DEP-MOD-sem:sem-amount	0.00000000000000000000 -0.11705616489052772522
DEP-MOD-lemma:vírgula	0.00000000000000000000 -0.11704982817173004150
DEP-CDIR-lemma:polícia	0.00000000000000000000 0.23899992555379867554
DEP-SUBJ-lemma:cada_um	0.00000000000000000000 0.32643334567546844482
DEP-SUBJ-lemma:rato	0.00000000000000000000 0.17649261653423309326
DEP-MOD-lemma:cauda	0.00000000000000000000 0.17649098485708236694
TOK+2-lemma:muito	0.00000000000000000000 0.21041288226842880249
TOK+3-lemma:jovem	0.00000000000000000000 0.21040440350770950317
DEP-MOD-lemma:considerar	0.00000000000000000000 0.21039592474699020386
TOK-2-lemma:céu	0.00000000000000000000 0.46703304350376129150
TOK+2-lemma:e	0.00000000000000000000 0.68412923812866210938
TOK+3-lemma:ouvir	0.00000000000000000000 0.46670711040496826172
TOK-3-lemma:meio	0.00000000000000000000 0.10703160986304283142
TOK+3-lemma:questão_cultural	0.00000000000000000000 0.10703043267130851746
DEP-SUBJ-lemma:desnutrição	0.00000000000000000000 0.10702927038073539734
DEP-MOD-lemma:questão_cultural	0.00000000000000000000 0.10702807456254959106
DEP-MOD-lemma:garantir	0.00000000000000000000 0.10702689364552497864
TOK-1-lemma:caso	0.00000000000000000000 -0.34275001287460327148
DEP-SUBJ-lemma:recluso	0.00000000000000000000 -0.34273926913738250732
DEP-CDIR-lemma:expetativa	0.00000000000000000000 -0.34272848069667816162
DEP-MOD-lemma:bodas_de_prata	0.00000000000000000000 -0.34271769225597381592
DEP-MOD-lemma:de_abril	0.00000000000000000000 -0.34270699322223663330
TOK-1-lemma:advogado	0.00000000000000000000 0.10816545411944389343
DEP-SUBJ-lemma:advogado	0.00000000000000000000 0.10816448926925659180
DEP-CDIR-lemma:prova	0.00000000000000000000 0.10816355049610137939
DEP-SUBJ-lemma:exposição	0.00000000000000000000 0.20446702092885971069
TOK-1-lemma:desejar	0.00000000000000000000 0.05510799773037433624
TOK+2-lemma:PCP	0.00000000000000000000 0.05510774999856948853
DEP-SUBJ-lemma:PCP	0.00000000000000000000 0.05510750785470008850
TOK-2-lemma:analista_russo	0.00000000000000000000 0.17308554798364639282
TOK+2-lemma:no_entanto	0.00000000000000000000 0.17308011651039123535
DEP-SUBJ-lemma:analista_russo	0.00000000000000000000 0.17307468503713607788
DEP-CDIR-lemma:sinal	0.00000000000000000000 0.17306928336620330811
DEP-CDIR-sem:sem-sick-c	0.00000000000000000000 0.17306381464004516602
DEP-MOD-lemma:no_entanto	0.00000000000000000000 0.17305840551853179932
DEP-MOD-lemma:gesto	0.00000000000000000000 0.17305300384759902954
DEP-SUBJ-lemma:ministro_de_o_ambiente	0.00000000000000000000 0.18584703654050827026
DEP-MOD-lemma:responsável	0.00000000000000000000 0.18583800643682479858
DEP-MOD-lemma:pasta	0.00000000000000000000 0.18582895398139953613
TOK-2-lemma:ensino	0.00000000000000000000 0.16547862440347671509
TOK-3-lemma:em_matéria_de	0.00000000000000000000 0.16547390818595886230
TOK+3-lemma:folhetim	0.00000000000000000000 0.16546922922134399414
DEP-MOD-lemma:propina	0.00000000000000000000 0.16546444594860076904
DEP-MOD-lemma:aceitar	0.00000000000000000000 0.16545977443456649780
TOK-1-lemma:senão	0.00000000000000000000 0.33952645957469940186
DEP-SUBJ-lemma:remissão	0.00000000000000000000 0.33950856328010559082
TOK-1-lemma:homem	0.00000000000000000000 0.05233712308108806610
TOK-3-lemma:fazer	0.00000000000000000000 0.05233601666986942291
TOK+1-lemma:de_novo	0.00000000000000000000 0.05233490839600563049
TOK+3-lemma:passagem	0.00000000000000000000 0.05233378894627094269
DEP-SUBJ-lemma:passagem	0.00000000000000000000 0.05233269184827804565
DEP-SUBJ-sem:sem-Lpath	0.00000000000000000000 0.05233158916234970093
DEP-SUBJ-sem:sem-sem-r	0.00000000000000000000 0.05233044922351837158
DEP-MOD-lemma:de_novo	0.00000000000000000000 0.05232935398817062378
TOK-1-lemma:pessoa	0.00000000000000000000 0.18543670326471328735
TOK-3-lemma:se	0.00000000000000000000 0.18542909622192382812
DEP-CDIR-lemma:fotografia	0.00000000000000000000 0.18542143702507019043
TOK+2-lemma:ação	0.00000000000000000000 0.06653487123548984528
TOK+3-lemma:muito	0.00000000000000000000 0.06653383001685142517
DEP-SUBJ-lemma:médio	0.00000000000000000000 0.24030243605375289917
DEP-MOD-lemma:Braga	0.00000000000000000000 0.24028061330318450928
DEP-MOD-lemma:jornada	0.00000000000000000000 0.24025883525609970093
TOK+2-lemma:soar	0.00000000000000000000 -0.13399318978190422058
DEP-MOD-lemma:soar	0.00000000000000000000 -0.13398855179548263550
DEP-CDIR-lemma:interruptor	0.00000000000000000000 0.32705067098140716553
DEP-MOD-lemma:cozinha	0.00000000000000000000 0.32702140510082244873
TOK-2-lemma:cumprir	0.00000000000000000000 0.10724367573857307434
TOK-3-pos:ADVP	0.00000000000000000000 0.10724259167909622192
TOK+2-lemma:lista	0.00000000000000000000 0.10724150016903877258
TOK+3-lemma:rejeitar	0.00000000000000000000 0.10724041610956192017
DEP-CDIR-lemma:lista	0.00000000000000000000 0.10723933205008506775
TOK-2-lemma:Lisboa	0.00000000000000000000 -0.14550524577498435974
DEP-SUBJ-lemma:sistema	0.00000000000000000000 -0.14550149440765380859
TOK-2-lemma:até_agora	0.00000000000000000000 0.08903517201542854309
TOK+2-lemma:Al-Qaeda	0.00000000000000000000 0.08903432637453079224
DEP-CDIR-lemma:Al-Qaeda	0.00000000000000000000 0.08903352171182632446
DEP-MOD-lemma:até_agora	0.00000000000000000000 0.08903267607092857361
DEP-MOD-lemma:lugar-tenente	0.00000000000000000000 0.08903185278177261353
TOK-2-lemma:então	0.00000000000000000000 0.14012496545910835266
TOK+1-lemma:nada	0.00000000000000000000 0.26134954392910003662
TOK+3-lemma:errar	0.00000000000000000000 0.14010277017951011658
DEP-MOD-lemma:errar	0.00000000000000000000 0.14009683579206466675
DEP-MOD-lemma:clonagem_reprodutiva	0.00000000000000000000 0.14009080082178115845
DEP-MOD-lemma:nada	0.00000000000000000000 0.14008490368723869324
TOK-2-lemma:ocasião	0.00000000000000000000 0.04874278418719768524
TOK+2-lemma:virar	0.00000000000000000000 0.04873933643102645874
DEP-SUBJ-lemma:papagaio	0.00000000000000000000 0.17266171425580978394
DEP-SUBJ-sem:sem-cloH	0.00000000000000000000 0.17265574634075164795
DEP-SUBJ-sem:sem-cloh	0.00000000000000000000 0.17264971137046813965
DEP-CDIR-lemma:fio	0.00000000000000000000 0.17264368385076522827
TOK-2-lemma:literatura	0.00000000000000000000 -0.02119799703359603882
TOK+2-lemma:contingente	0.00000000000000000000 0.12807084992527961731
DEP-MOD-lemma:NATO	0.00000000000000000000 0.12806919217109680176
DEP-MOD-lemma:preparar	0.00000000000000000000 0.12806751951575279236
TOK-1-lemma:espetador	0.00000000000000000000 0.12783424928784370422
TOK-3-lemma:dois_milhões	0.00000000000000000000 0.12782682105898857117
TOK+3-lemma:domingo	0.00000000000000000000 0.12781946361064910889
DEP-SUBJ-lemma:espetador	0.00000000000000000000 0.12781211361289024353
DEP-CDIR-lemma:jogo	0.00000000000000000000 0.12780474498867988586
DEP-CDIR-sem:sem-game	0.00000000000000000000 0.12779739126563072205
DEP-MOD-lemma:Benfica	0.00000000000000000000 0.12778998538851737976
DEP-MOD-lemma:SIC	0.00000000000000000000 0.12778263539075851440
TOK-1-lemma:comparecer	0.00000000000000000000 0.09444786608219146729
TOK-3-lemma:pessoa	0.00000000000000000000 0.09444728866219520569
TOK-3-lemma:praticamente	0.00000000000000000000 0.05667101591825485229
DEP-MOD-lemma:praticamente	0.00000000000000000000 0.05667088739573955536
TOK+3-lemma:atravessar	0.00000000000000000000 0.06367252022027969360
DEP-MOD-lemma:atravessar	0.00000000000000000000 0.06367181055247783661
TOK+2-lemma:assim	0.00000000000000000000 0.12111416086554527283
DEP-CDIR-lemma:nada	0.00000000000000000000 0.12111093103885650635
TOK-1-lemma:importante	0.00000000000000000000 -0.02756398171186447144
TOK+2-lemma:dimensão	0.00000000000000000000 -0.02756097353994846344
TOK+3-lemma:este_equipa	0.00000000000000000000 -0.02755798492580652237
DEP-SUBJ-lemma:equipa	0.00000000000000000000 -0.02755499538034200668
DEP-SUBJ-lemma:pobre	0.00000000000000000000 0.24380991607904434204
TOK-3-lemma:onde	0.00000000000000000000 0.00495040812529623508
TOK+2-lemma:este	0.00000000000000000000 0.00495034921914339066
TOK+3-lemma:verão	0.00000000000000000000 0.00495029578451067209
DEP-SUBJ-lemma:campo	0.00000000000000000000 0.00495023874100297689
DEP-SUBJ-sem:sem-B	0.00000000000000000000 0.00495018251240253448
DEP-SUBJ-lemma:bairro_social	0.00000000000000000000 0.00495012535247951746
DEP-MOD-lemma:verão	0.00000000000000000000 0.00495006761047989130
DEP-SUBJ-lemma:vidro_fumado	0.00000000000000000000 0.04518341645598411560
DEP-CDIR-pos:ADJ	0.00000000000000000000 0.24152236431837081909
DEP-CDIR-lemma:oficial	0.00000000000000000000 0.04518052376806735992
DEP-MOD-lemma:porto	0.00000000000000000000 0.04518024809658527374
TOK-3-lemma:antigamente	0.00000000000000000000 0.05554148554801940918
TOK+2-lemma:casa	0.00000000000000000000 0.05554114282131195068
TOK-1-lemma:Maria_Cândida	0.00000000000000000000 0.09567053243517875671
TOK+2-lemma:confrontar	0.00000000000000000000 0.09566978737711906433
TOK+3-lemma:por	0.00000000000000000000 0.09566901624202728271
DEP-SUBJ-lemma:Maria_Cândida	0.00000000000000000000 0.09566828235983848572
TOK+1-lemma:de_perto	0.00000000000000000000 0.11959413811564445496
TOK+2-lemma::	0.00000000000000000000 0.11959229409694671631
DEP-SUBJ-lemma:tela	0.00000000000000000000 0.11959046125411987305
DEP-SUBJ-sem:sem-cm	0.00000000000000000000 0.11958859488368034363
DEP-SUBJ-sem:sem-mat-cloth	0.00000000000000000000 0.11958675831556320190
DEP-MOD-lemma:de_perto	0.00000000000000000000 0.11958492547273635864
DEP-MOD-lemma:centímetro	0.00000000000000000000 0.11958308517932891846
DEP-MOD-sem:sem-length	0.00000000000000000000 0.11958124116063117981
TOK+1-lemma:"_They_Drive_By_Night_"	0.00000000000000000000 0.21642500162124633789
TOK+3-lemma:ler	0.00000000000000000000 0.21640741080045700073
DEP-CDIR-lemma:"_They_Drive_By_Night_"	0.00000000000000000000 0.21638979762792587280
TOK-1-lemma:poder	0.00000000000000000000 0.16387759894132614136
TOK-3-lemma:Assembleia_da_República	0.00000000000000000000 0.16386269778013229370
TOK+3-lemma:poder	0.00000000000000000000 0.16384775936603546143
DEP-CDIR-lemma:poder	0.00000000000000000000 0.16383285820484161377
DEP-MOD-lemma:atribuição	0.00000000000000000000 0.16381794959306716919
DEP-MOD-lemma:possuir	0.00000000000000000000 0.16380307078361511230
TOK-2-lemma:como	0.00000000000000000000 0.09030403569340705872
TOK-3-lemma:eleição	0.00000000000000000000 0.09030114486813545227
TOK+3-lemma:maioria	0.00000000000000000000 0.09029824659228324890
DEP-CDIR-lemma:maioria	0.00000000000000000000 0.09029532968997955322
TOK-2-lemma:ambientalista	0.00000000000000000000 0.10506030544638633728
DEP-SUBJ-lemma:ambientalista	0.00000000000000000000 0.10505868494510650635
DEP-CDIR-lemma:pessoa	0.00000000000000000000 0.10505708307027816772
DEP-MOD-lemma:força	0.00000000000000000000 0.10505546629428863525
TOK-3-lemma:cultural	0.00000000000000000000 0.09387299418449401855
DEP-SUBJ-lemma:teórico	0.00000000000000000000 0.09387169405817985535
TOK-1-lemma:miúdo	0.00000000000000000000 0.12742301449179649353
DEP-SUBJ-lemma:miúdo	0.00000000000000000000 0.12742202728986740112
DEP-CDIR-lemma:pai	0.00000000000000000000 0.12742096558213233948
TOK+1-lemma:batalhão	0.00000000000000000000 0.03415565844625234604
TOK+2-lemma:formar	0.00000000000000000000 0.03415556345134973526
TOK+3-lemma:quase	0.00000000000000000000 0.03415546938776969910
DEP-CDIR-lemma:batalhão	0.00000000000000000000 0.03415537253022193909
DEP-MOD-lemma:negro	0.00000000000000000000 0.03415524959564208984
TOK-2-pos:VTEMP	0.00000000000000000000 0.05308836139738559723
TOK+2-lemma:receber	0.00000000000000000000 0.05308803543448448181
TOK+3-lemma:dinheiro	0.00000000000000000000 0.05308774299919605255
DEP-SUBJ-lemma:ministério_publicar	0.00000000000000000000 0.05308741889894008636
DEP-MOD-lemma:receber	0.00000000000000000000 0.05308711156249046326
TOK-2-lemma:aí	0.00000000000000000000 0.19904927164316177368
TOK+2-lemma:algures	0.00000000000000000000 0.19904408603906631470
DEP-MOD-lemma:aí	0.00000000000000000000 0.19903883337974548340
DEP-MOD-lemma:algures	0.00000000000000000000 0.19903356581926345825
DEP-MOD-lemma:sentido	0.00000000000000000000 0.19902835041284561157
TOK-1-lemma:ano	0.00000000000000000000 0.09487517550587654114
TOK-2-lemma:próximo	0.00000000000000000000 0.09487400203943252563
TOK+2-lemma:mundo	0.00000000000000000000 0.09487280994653701782
TOK+3-lemma:fazer	0.00000000000000000000 0.09487161785364151001
DEP-MOD-lemma:imagem	0.00000000000000000000 0.09487037733197212219
TOK+2-lemma:estar	0.00000000000000000000 0.02033069916069507599
TOK+3-lemma:...	0.00000000000000000000 0.02033034432679414749
DEP-MOD-lemma:palco	0.00000000000000000000 0.05215955339372158051
TOK-1-lemma:regime	0.00000000000000000000 -0.11800466477870941162
DEP-CDIR-lemma:filho	0.00000000000000000000 -0.11799980700016021729
DEP-MOD-lemma:casar	0.00000000000000000000 -0.11799496039748191833
TOK-2-lemma:abrandar	0.00000000000000000000 -0.42316161096096038818
TOK+2-lemma:sinal_amarelo	0.00000000000000000000 -0.42313298583030700684
TOK+3-lemma:intermitente	0.00000000000000000000 -0.42310440540313720703
DEP-CDIR-lemma:sinal_amarelo	0.00000000000000000000 -0.42307581007480621338
DEP-MOD-lemma:semáforo	0.00000000000000000000 -0.42304711043834686279
TOK-1-lemma:sempre_que	0.00000000000000000000 0.19604392349720001221
DEP-CDIR-lemma:bom	0.00000000000000000000 0.19603794068098068237
TOK+1-lemma:porquê	0.00000000000000000000 -0.67400270700454711914
DEP-CDIR-lemma:espaço	0.00000000000000000000 0.03807686828076839447
DEP-CDIR-lemma:interação	0.00000000000000000000 0.03807661682367324829
DEP-MOD-lemma:aqui	0.00000000000000000000 0.08632201328873634338
TOK-1-lemma:todo	0.00000000000000000000 0.17133300751447677612
TOK-2-lemma:quase	0.00000000000000000000 0.17131631821393966675
TOK-3-lemma:na_medida_em_que	0.00000000000000000000 0.17129969596862792969
DEP-CDIR-lemma:situação	0.00000000000000000000 0.17128303647041320801
DEP-MOD-lemma:quase	0.00000000000000000000 0.17126633226871490479
DEP-MOD-lemma:volta	0.00000000000000000000 0.17124972492456436157
DEP-MOD-lemma:aspeto_económico	0.00000000000000000000 0.17123307287693023682
TOK-3-lemma:ainda	0.00000000000000000000 0.14015124738216400146
DEP-SUBJ-lemma:tático	0.00000000000000000000 0.14014528691768646240
DEP-MOD-lemma:Sporting_de_Materazzi	0.00000000000000000000 0.14013941213488578796
DEP-MOD-lemma:aproveitamento	0.00000000000000000000 0.14013347029685974121
TOK-1-lemma:lance_de_bola_parada	0.00000000000000000000 0.17908963561058044434
TOK+3-lemma:trabalho	0.00000000000000000000 0.17908819764852523804
TOK+3-lemma:desagradar	0.00000000000000000000 -0.04280353710055351257
DEP-SUBJ-lemma:forma	0.00000000000000000000 -0.04280121065676212311
DEP-SUBJ-sem:sem-con	0.00000000000000000000 -0.04279887117445468903
DEP-CDIR-lemma:desagradar	0.00000000000000000000 -0.04279654845595359802
DEP-MOD-lemma:desagradar	0.00000000000000000000 -0.04279421269893646240
TOK-1-lemma:Ana_Gomes	0.00000000000000000000 -0.09095926210284233093
TOK-3-lemma:geração	0.00000000000000000000 -0.09095455333590507507
TOK+3-lemma:primeiro	0.00000000000000000000 -0.09094985201954841614
DEP-SUBJ-lemma:Ana_Gomes	0.00000000000000000000 -0.09094515815377235413
DEP-CDIR-lemma:cruzar	0.00000000000000000000 -0.09094044193625450134
DEP-MOD-lemma:vez	0.00000000000000000000 -0.09093572571873664856
DEP-MOD-lemma:questão	0.00000000000000000000 -0.09093106165528297424
DEP-SUBJ-lemma:mito	0.00000000000000000000 0.06968549638986587524
DEP-CDIR-lemma:um	0.00000000000000000000 0.06968493945896625519
TOK+3-lemma:genial	0.00000000000000000000 0.07405062392354011536
DEP-CDIR-lemma:"_Détour_"	0.00000000000000000000 0.07404993101954460144
DEP-MOD-lemma:Edgar_Ulmer	0.00000000000000000000 0.07404922321438789368
DEP-MOD-lemma:mil_novecentos_e_quarenta_e_cinco	0.00000000000000000000 0.07404851168394088745
TOK-2-lemma:ainda	0.00000000000000000000 -0.44705335795879364014
TOK-1-lemma:preciso	0.00000000000000000000 -0.14044239744544029236
TOK+2-lemma:não	0.00000000000000000000 -0.14043825492262840271
DEP-MOD-lemma:apreciar	0.00000000000000000000 -0.14043407887220382690
